level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1275	1650	-1	
2	1	1	0	0	0	165	49	304	14	-1	
3	1	1	1	0	0	165	49	304	14	-1	
4	1	1	1	1	0	165	49	304	14	-1	
5	1	1	1	1	1	165	49	113	14	96.069229	CONSUMER
5	1	1	1	1	2	283	49	99	14	96.120316	ACCOUNT
5	1	1	1	1	3	389	49	80	14	96.377350	DETAILS
2	1	2	0	0	0	165	150	949	13	-1	
3	1	2	1	0	0	165	150	949	13	-1	
4	1	2	1	1	0	165	150	949	13	-1	
5	1	2	1	1	1	165	150	949	13	95.000000	 
2	1	3	0	0	0	424	156	5	217	-1	
3	1	3	1	0	0	424	156	5	217	-1	
4	1	3	1	1	0	424	156	5	217	-1	
5	1	3	1	1	1	424	156	5	217	95.000000	 
2	1	4	0	0	0	849	156	5	217	-1	
3	1	4	1	0	0	849	156	5	217	-1	
4	1	4	1	1	0	849	156	5	217	-1	
5	1	4	1	1	1	849	156	5	217	95.000000	 
2	1	5	0	0	0	165	365	949	14	-1	
3	1	5	1	0	0	165	365	949	14	-1	
4	1	5	1	1	0	165	365	949	14	-1	
5	1	5	1	1	1	165	365	949	14	95.000000	 
2	1	6	0	0	0	165	404	949	13	-1	
3	1	6	1	0	0	165	404	949	13	-1	
4	1	6	1	1	0	165	404	949	13	-1	
5	1	6	1	1	1	165	404	949	13	95.000000	 
2	1	7	0	0	0	169	520	941	13	-1	
3	1	7	1	0	0	169	520	941	13	-1	
4	1	7	1	1	0	169	520	941	13	-1	
5	1	7	1	1	1	169	520	941	13	95.000000	 
2	1	8	0	0	0	168	587	915	13	-1	
3	1	8	1	0	0	168	587	915	13	-1	
4	1	8	1	1	0	168	587	915	13	-1	
5	1	8	1	1	1	168	587	915	13	95.000000	 
2	1	9	0	0	0	165	811	949	14	-1	
3	1	9	1	0	0	165	811	949	14	-1	
4	1	9	1	1	0	165	811	949	14	-1	
5	1	9	1	1	1	165	811	949	14	95.000000	 
2	1	10	0	0	0	165	849	949	13	-1	
3	1	10	1	0	0	165	849	949	13	-1	
4	1	10	1	1	0	165	849	949	13	-1	
5	1	10	1	1	1	165	849	949	13	95.000000	 
2	1	11	0	0	0	169	927	941	13	-1	
3	1	11	1	0	0	169	927	941	13	-1	
4	1	11	1	1	0	169	927	941	13	-1	
5	1	11	1	1	1	169	927	941	13	95.000000	 
2	1	12	0	0	0	168	995	915	13	-1	
3	1	12	1	0	0	168	995	915	13	-1	
4	1	12	1	1	0	168	995	915	13	-1	
5	1	12	1	1	1	168	995	915	13	95.000000	 
2	1	13	0	0	0	165	1248	949	14	-1	
3	1	13	1	0	0	165	1248	949	14	-1	
4	1	13	1	1	0	165	1248	949	14	-1	
5	1	13	1	1	1	165	1248	949	14	95.000000	 
2	1	14	0	0	0	165	1286	949	13	-1	
3	1	14	1	0	0	165	1286	949	13	-1	
4	1	14	1	1	0	165	1286	949	13	-1	
5	1	14	1	1	1	165	1286	949	13	95.000000	 
2	1	15	0	0	0	169	1403	941	13	-1	
